budget,revenue,popularity,runtime,vote_average,title,genres
57755036,107323371,60.3773601820793,98,6.611888117846714,Movie 1,"[{'id': 10749, 'name': 'Romance'}]"
192100010,342896533,86.28985701546246,96,7.184686968985837,Movie 2,"[{'id': 18, 'name': 'Drama'}]"
128521863,253206827,86.99532434251914,148,3.5429778665752005,Movie 3,"[{'id': 35, 'name': 'Comedy'}]"
156299516,89635602,72.71009622662443,118,5.985175896164717,Movie 4,"[{'id': 18, 'name': 'Drama'}]"
148532820,221133868,74.82958452853647,161,4.578480179545145,Movie 5,"[{'id': 35, 'name': 'Comedy'}]"
134224038,270524761,56.234817069919366,150,7.346318135988268,Movie 6,"[{'id': 10749, 'name': 'Romance'}]"
36788921,73368473,58.88214092641665,160,4.137333051221643,Movie 7,"[{'id': 12, 'name': 'Adventure'}]"
134120466,332939335,14.231407559641282,118,8.353427493228638,Movie 8,"[{'id': 28, 'name': 'Action'}]"
161953558,346179511,44.94205965370881,115,5.585648019109962,Movie 9,"[{'id': 27, 'name': 'Horror'}]"
94410762,281375537,45.626852104750014,119,4.188018181845321,Movie 10,"[{'id': 27, 'name': 'Horror'}]"
92090292,111395762,95.89128573110628,124,5.628130778101976,Movie 11,"[{'id': 28, 'name': 'Action'}]"
166850211,233236168,43.677599399705656,83,5.452462576851167,Movie 12,"[{'id': 27, 'name': 'Horror'}]"
77737383,113466874,55.38492184537301,104,5.573513756962262,Movie 13,"[{'id': 27, 'name': 'Horror'}]"
89358551,148740169,53.79188852863115,148,6.513367760984681,Movie 14,[]
112190146,290571935,64.03940998738838,109,6.127042349481226,Movie 15,"[{'id': 12, 'name': 'Adventure'}]"
89409749,97410154,75.07505030185769,155,3.898662790085416,Movie 16,"[{'id': 18, 'name': 'Drama'}]"
140199233,342086201,23.27914574091634,147,3.393474435879818,Movie 17,"[{'id': 16, 'name': 'Animation'}]"
149171095,225736957,53.343717490745135,167,7.376492692359243,Movie 18,"[{'id': 28, 'name': 'Action'}]"
86652971,173707878,82.76585302428701,108,6.358304615569881,Movie 19,"[{'id': 10749, 'name': 'Romance'}]"
5521373,11491917,46.848356669913635,152,5.154004608475582,Movie 20,"[{'id': 35, 'name': 'Comedy'}]"
107683173,154215397,28.56729709098373,147,7.850146934988443,Movie 21,"[{'id': 27, 'name': 'Horror'}]"
4344769,7740371,65.81619846027361,130,5.328350845565742,Movie 22,[]
107328085,164488655,82.55297218411317,103,7.775790537603645,Movie 23,"[{'id': 53, 'name': 'Thriller'}]"
31349564,21092988,7.250888999811741,93,4.834536765074248,Movie 24,"[{'id': 27, 'name': 'Horror'}]"
100052376,159374777,77.90225785731549,148,3.4370717852711987,Movie 25,"[{'id': 35, 'name': 'Comedy'}]"
178077808,132397908,82.34314536321534,97,8.595838162799573,Movie 26,"[{'id': 878, 'name': 'Science Fiction'}]"
107406362,162457707,46.69076983127207,121,5.367306775688239,Movie 27,"[{'id': 18, 'name': 'Drama'}]"
107777086,213646086,98.34726002502828,136,7.756155437096267,Movie 28,"[{'id': 12, 'name': 'Adventure'}]"
63250665,123246276,78.8841257300236,162,4.674864799333827,Movie 29,"[{'id': 16, 'name': 'Animation'}]"
182009883,392513995,77.59259392467091,91,6.878190672741936,Movie 30,"[{'id': 878, 'name': 'Science Fiction'}]"
156716283,115680715,75.0360188667951,161,8.239865239546369,Movie 31,"[{'id': 53, 'name': 'Thriller'}]"
195438926,416345129,15.910202218609125,96,3.249864134039882,Movie 32,"[{'id': 12, 'name': 'Adventure'}]"
80757501,103399493,22.50585775884807,109,7.983814588116536,Movie 33,"[{'id': 16, 'name': 'Animation'}]"
121716221,182284021,46.93502301497808,167,6.4279980298315715,Movie 34,"[{'id': 878, 'name': 'Science Fiction'}]"
152079598,402245310,27.136430645987122,154,6.644830523451415,Movie 35,[]
53286002,27845986,42.10885626107,178,6.138948004835896,Movie 36,"[{'id': 16, 'name': 'Animation'}]"
33049003,65140628,88.95794688236914,102,8.246850619701855,Movie 37,"[{'id': 878, 'name': 'Science Fiction'}]"
62136438,124073104,82.60836229604766,160,3.260600143413825,Movie 38,"[{'id': 16, 'name': 'Animation'}]"
197412659,294470482,63.37394796951824,80,4.5661703492150885,Movie 39,"[{'id': 16, 'name': 'Animation'}]"
129482111,141468223,85.95391903085925,158,8.254575233154931,Movie 40,"[{'id': 878, 'name': 'Science Fiction'}]"
126683192,137664736,78.59346651270768,111,7.5140742151917355,Movie 41,"[{'id': 10749, 'name': 'Romance'}]"
194466162,526862150,43.46950825224816,88,3.105870961071635,Movie 42,"[{'id': 16, 'name': 'Animation'}]"
196524628,315434003,20.905450052944566,94,6.102037699258252,Movie 43,"[{'id': 28, 'name': 'Action'}]"
56831368,75427921,51.90590296092458,107,6.177436084276049,Movie 44,"[{'id': 28, 'name': 'Action'}]"
11959014,19396850,73.88665937032646,103,5.405292810767462,Movie 45,"[{'id': 27, 'name': 'Horror'}]"
57972561,126001970,44.20554027422971,139,4.784359992371938,Movie 46,"[{'id': 12, 'name': 'Adventure'}]"
49900483,43133549,67.01041906860583,114,7.090349102474052,Movie 47,"[{'id': 10749, 'name': 'Romance'}]"
21193880,34410056,10.33841520281332,165,4.246742788228523,Movie 48,"[{'id': 18, 'name': 'Drama'}]"
121826171,239962340,75.05246890076894,106,7.793691372430237,Movie 49,"[{'id': 10749, 'name': 'Romance'}]"
4385357,12592370,81.45864836941314,162,7.81822296460483,Movie 50,"[{'id': 16, 'name': 'Animation'}]"
45738553,51744914,70.97694772227358,155,5.491568625436923,Movie 51,"[{'id': 27, 'name': 'Horror'}]"
69574553,97274052,96.75909516511018,99,4.701288065457886,Movie 52,"[{'id': 10749, 'name': 'Romance'}]"
